날짜,종가,대비
2022.3.28,1935.64,-20.98
2022.3.25,1956.63,16.35
2022.3.24,1940.28,22.09
2022.3.23,1918.18,-17.05
2022.3.22,1935.24,10.4
2022.3.21,1924.84,-9.12
2022.3.18,1933.95,-0.02
2022.3.17,1933.97,19.14
2022.3.16,1914.83,-17.11
2022.3.15,1931.94,-43.76
2022.3.14,1975.7,-11.59
2022.3.11,1987.29,1.93
2022.3.10,1985.37,-24.52
2022.3.8,2009.89,25.36
2022.3.7,1984.54,47.95
2022.3.4,1936.58,7.7
2022.3.3,1928.88,-8.72
2022.3.2,1937.6,28.59
2022.2.28,1909.02,-7.89
2022.2.25,1916.9,-22.11
2022.2.24,1939.02,42.05
2022.2.23,1896.96,-11.88
2022.2.22,1908.85,18.71
2022.2.21,1890.14,-1.92
2022.2.18,1892.06,16.81
2022.2.17,1875.24,20.23
2022.2.16,1855.02,-23.11
2022.2.15,1878.12,25.36
2022.2.14,1852.76,29.93
2022.2.11,1822.83,-11.8
2022.2.10,1834.63,7.21
2022.2.9,1827.42,6.54
2022.2.8,1820.88,11.21
2022.2.7,1809.67,2.83
2022.2.4,1806.85,1.4
2022.2.3,1805.45,7.54
2022.1.28,1797.91,-13.88
2022.1.27,1811.79,-34.92
2022.1.26,1846.71,4.99
2022.1.25,1841.72,2.86
2022.1.24,1838.87,-1.48
2022.1.21,1840.34,0.39
2022.1.20,1839.95,26.66
2022.1.19,1813.3,-3.38
2022.1.18,1816.67,-2.46
2022.1.17,1819.13,-8.43
2022.1.14,1827.56,2.79
2022.1.13,1824.77,4.26
2022.1.12,1820.5,13.2
2022.1.11,1807.3,14.4
2022.1.10,1792.89,2.62
2022.1.7,1790.27,-12.65
2022.1.6,1802.92,-12.04
2022.1.5,1814.96,10.37
2022.1.4,1804.59,-20.34
2022.1.3,1824.93,26.36
2021.12.30,1798.57,-7.95
2021.12.29,1806.52,-8.55
2021.12.28,1815.08,5.42
2021.12.27,1809.65,0.76
2021.12.24,1808.89,3.27
2021.12.23,1805.62,17.45
2021.12.22,1788.16,-2.09
2021.12.21,1790.26,-11.64
2021.12.20,1801.9,-4.15
2021.12.17,1806.05,21.8
2021.12.16,1784.24,14.76
2021.12.15,1769.48,-17.82
2021.12.14,1787.31,1.77
2021.12.13,1785.54,12.65
2021.12.10,1772.88,-12.54
2021.12.9,1785.41,-3.5
2021.12.8,1788.92,7.89
2021.12.7,1781.03,-4.25
2021.12.6,1785.28,12.43
2021.12.3,1772.85,-5.16
2021.12.2,1778,-10.3
2021.12.1,1788.3,-4.24
2021.11.30,1792.54,-2.56
2021.11.29,1795.1,-7.1
2021.11.26,1802.19,9.22
2021.11.25,1792.97,-0.84
2021.11.24,1793.81,-10.85
2021.11.23,1804.66,-38.72
2021.11.22,1843.38,-17.54
2021.11.19,1860.91,-2.82
2021.11.18,1863.73,8.86
2021.11.17,1854.88,-11.02
2021.11.16,1865.89,8.15
2021.11.15,1857.73,-0.21
2021.11.12,1857.95,5.41
2021.11.11,1852.54,27.69
2021.11.10,1824.85,1.1
2021.11.9,1823.75,6.45
2021.11.8,1817.31,20.79
2021.11.5,1796.52,23.92
2021.11.4,1772.6,-7.33
2021.11.3,1779.93,-14.71
2021.11.2,1794.64,11.56
2021.11.1,1783.08,-12.14
2021.10.29,1795.22,-6.44
2021.10.28,1801.66,12.72
2021.10.27,1788.94,-16.05
2021.10.26,1804.99,8.02
2021.10.25,1796.98,4.12
2021.10.22,1792.86,7.6
2021.10.21,1785.26,9.12
2021.10.20,1776.13,-1.77
2021.10.19,1777.9,12.27
2021.10.18,1765.63,-25.82
2021.10.15,1791.45,-2.47
2021.10.14,1793.92,31.7
2021.10.13,1762.23,1.4
2021.10.12,1760.83,1.72
2021.10.8,1759.11,-4.32
2021.10.7,1763.43,9.57
2021.10.6,1753.86,-5.08
2021.10.5,1758.94,4.43
2021.10.1,1754.51,25.41
2021.9.30,1729.11,-10.02
2021.9.29,1739.12,-4.17
2021.9.28,1743.29,-15.52
2021.9.27,1758.81,3.47
2021.9.24,1755.34,-8.68
2021.9.23,1764.01,-0.92
2021.9.17,1764.93,-22.21
2021.9.16,1787.14,-15.64
2021.9.15,1802.79,9.62
2021.9.14,1793.16,2.33
2021.9.13,1790.84,-11.49
2021.9.10,1802.33,13.4
2021.9.9,1788.93,-6.94
2021.9.8,1795.87,-21.46
2021.9.7,1817.34,-10.94
2021.9.6,1828.28,15.15
2021.9.3,1813.12,-1.57
2021.9.2,1814.7,-0.97
2021.9.1,1815.67,-0.3
2021.8.31,1815.98,2.3
2021.8.30,1813.68,9.92
2021.8.27,1803.76,18.29
2021.8.26,1785.47,-9.92
2021.8.25,1795.39,-8.34
2021.8.24,1803.73,18.62
