date,lastvalue,difference,diffrate,startvalue,highvalue,lowvalue,volume
17.Jun.97,"1,443.11",11.16,0.78,"1,429.64","1,445.60","1,426.26","618,760,000"
18.Jun.97,"1,432.43",-10.68,-0.74,"1,433.47","1,433.47","1,428.84","588,340,000"
19.Jun.97,"1,447.14",14.71,1.03,"1,433.36","1,448.45","1,432.43","651,740,000"
20.Jun.97,"1,447.10",-0.04,0.00,"1,447.45","1,453.39","1,444.42","612,260,000"
23.Jun.97,"1,434.32",-12.78,-0.88,"1,444.84","1,451.07","1,433.33","553,910,000"
24.Jun.97,"1,452.43",18.11,1.26,"1,443.93","1,452.68","1,443.93","630,080,000"
25.Jun.97,"1,446.24",-6.19,-0.43,"1,453.88","1,467.29","1,439.10","672,870,000"
26.Jun.97,"1,436.38",-9.86,-0.68,"1,442.50","1,447.82","1,435.10","612,940,000"
27.Jun.97,"1,438.15",1.77,0.12,"1,441.29","1,444.95","1,436.38","548,480,000"
30.Jun.97,"1,442.07",3.92,0.27,"1,439.47","1,448.68","1,432.07","637,020,000"
1.Jul.97,"1,438.25",-3.82,-0.26,"1,442.65","1,444.12","1,432.42","589,030,000"
2.Jul.97,"1,455.61",17.36,1.21,"1,443.24","1,455.80","1,437.15","622,390,000"
3.Jul.97,"1,467.61",12.00,0.82,"1,464.07","1,469.36","1,464.07","371,760,000"
7.Jul.97,"1,470.74",3.13,0.21,"1,472.61","1,477.25","1,466.57","546,110,000"
8.Jul.97,"1,485.10",14.36,0.98,"1,471.45","1,485.16","1,469.94","635,390,000"
9.Jul.97,"1,486.63",1.53,0.10,"1,491.84","1,494.89","1,483.21","707,870,000"
10.Jul.97,"1,490.93",4.30,0.29,"1,485.67","1,491.97","1,476.21","637,320,000"
11.Jul.97,"1,502.62",11.69,0.78,"1,489.71","1,503.31","1,485.31","651,460,000"
14.Jul.97,"1,523.88",21.26,1.41,"1,506.97","1,523.88","1,506.97","677,580,000"
15.Jul.97,"1,542.11",18.23,1.20,"1,534.57","1,543.19","1,523.88","726,930,000"
16.Jul.97,"1,580.63",38.52,2.50,"1,561.41","1,581.45","1,561.41","836,200,000"
17.Jul.97,"1,568.85",-11.78,-0.75,"1,581.25","1,582.63","1,564.57","750,890,000"
18.Jul.97,"1,547.99",-20.86,-1.33,"1,559.50","1,559.50","1,535.74","668,550,000"
21.Jul.97,"1,536.23",-11.76,-0.76,"1,548.10","1,549.23","1,530.23","535,710,000"
22.Jul.97,"1,563.86",27.63,1.80,"1,539.00","1,564.01","1,538.55","647,960,000"
23.Jul.97,"1,567.65",3.79,0.24,"1,571.33","1,578.03","1,562.37","693,280,000"
24.Jul.97,"1,569.13",1.48,0.09,"1,565.87","1,571.03","1,553.23","742,100,000"
25.Jul.97,"1,569.58",0.45,0.03,"1,571.69","1,576.95","1,561.42","666,600,000"
28.Jul.97,"1,563.53",-6.05,-0.39,"1,573.09","1,574.13","1,560.51","589,500,000"
29.Jul.97,"1,572.32",8.79,0.56,"1,560.47","1,572.32","1,557.56","632,300,000"
30.Jul.97,"1,588.05",15.73,1.00,"1,573.13","1,589.81","1,570.79","724,950,000"
31.Jul.97,"1,593.81",5.76,0.36,"1,591.56","1,595.76","1,585.09","677,690,000"
1.Aug.97,"1,594.33",0.52,0.03,"1,594.67","1,599.03","1,580.50","584,020,000"
4.Aug.97,"1,605.45",11.12,0.70,"1,593.09","1,605.74","1,593.09","593,300,000"
5.Aug.97,"1,621.53",16.08,1.00,"1,610.21","1,621.77","1,587.25","731,870,000"
6.Aug.97,"1,630.44",8.91,0.55,"1,623.24","1,635.03","1,617.21","780,350,000"
7.Aug.97,"1,624.18",-6.26,-0.38,"1,637.14","1,638.26","1,623.80","747,460,000"
8.Aug.97,"1,598.52",-25.66,-1.58,"1,612.37","1,614.86","1,586.60","691,650,000"
11.Aug.97,"1,586.74",-11.78,-0.74,"1,599.16","1,601.09","1,570.50","613,980,000"
12.Aug.97,"1,576.24",-10.50,-0.66,"1,592.65","1,601.15","1,575.89","637,480,000"
13.Aug.97,"1,583.40",7.16,0.45,"1,594.25","1,597.48","1,571.59","648,370,000"
14.Aug.97,"1,586.69",3.29,0.21,"1,587.12","1,591.57","1,577.95","575,880,000"
15.Aug.97,"1,562.03",-24.66,-1.55,"1,583.27","1,583.27","1,561.85","540,240,000"
18.Aug.97,"1,569.52",7.49,0.48,"1,563.45","1,569.53","1,545.13","545,600,000"
19.Aug.97,"1,600.71",31.19,1.99,"1,579.38","1,600.72","1,579.38","654,020,000"
20.Aug.97,"1,628.70",27.99,1.75,"1,603.29","1,628.81","1,599.11","713,530,000"
21.Aug.97,"1,607.36",-21.34,-1.31,"1,626.88","1,628.80","1,605.82","703,630,000"
22.Aug.97,"1,598.69",-8.67,-0.54,"1,581.68","1,607.36","1,574.77","628,780,000"
25.Aug.97,"1,601.57",2.88,0.18,"1,601.11","1,610.90","1,596.38","567,740,000"
26.Aug.97,"1,591.30",-10.27,-0.64,"1,596.04","1,601.94","1,591.04","664,840,000"
27.Aug.97,"1,595.54",4.24,0.27,"1,593.73","1,598.25","1,583.12","635,430,000"
28.Aug.97,"1,581.32",-14.22,-0.89,"1,586.10","1,586.10","1,572.09","664,030,000"
29.Aug.97,"1,587.32",6.00,0.38,"1,580.00","1,591.32","1,578.97","498,240,000"
2.Sep.97,"1,618.09",30.77,1.94,"1,595.07","1,618.38","1,595.07","583,880,000"
3.Sep.97,"1,618.24",0.15,0.01,"1,619.96","1,629.40","1,616.40","652,520,000"
4.Sep.97,"1,624.63",6.39,0.39,"1,618.00","1,625.99","1,616.55","669,770,000"
5.Sep.97,"1,635.77",11.14,0.69,"1,633.01","1,639.90","1,633.01","644,380,000"
8.Sep.97,"1,645.35",9.58,0.59,"1,641.72","1,648.70","1,641.72","648,040,000"
9.Sep.97,"1,656.22",10.87,0.66,"1,646.59","1,659.37","1,645.04","711,410,000"
10.Sep.97,"1,639.25",-16.97,-1.02,"1,655.67","1,655.67","1,639.16","724,200,000"
11.Sep.97,"1,639.86",0.61,0.04,"1,635.31","1,640.89","1,620.52","708,040,000"
12.Sep.97,"1,649.33",9.47,0.58,"1,642.98","1,649.89","1,633.65","690,960,000"
15.Sep.97,"1,634.92",-14.41,-0.87,"1,649.76","1,654.74","1,634.76","663,570,000"
16.Sep.97,"1,668.60",33.68,2.06,"1,643.79","1,669.18","1,643.79","745,330,000"
17.Sep.97,"1,666.47",-2.13,-0.13,"1,673.66","1,675.69","1,662.53","770,020,000"
18.Sep.97,"1,670.02",3.55,0.21,"1,671.57","1,680.18","1,667.71","718,240,000"
19.Sep.97,"1,680.36",10.34,0.62,"1,668.87","1,680.37","1,666.91","679,860,000"
22.Sep.97,"1,689.45",9.09,0.54,"1,684.31","1,697.32","1,684.31","703,720,000"
23.Sep.97,"1,697.36",7.91,0.47,"1,691.98","1,697.36","1,686.38","755,210,000"
24.Sep.97,"1,687.41",-9.95,-0.59,"1,700.69","1,702.49","1,686.52","784,480,000"
25.Sep.97,"1,678.89",-8.52,-0.50,"1,685.78","1,688.81","1,675.56","732,460,000"
26.Sep.97,"1,682.24",3.35,0.20,"1,686.00","1,689.18","1,677.69","678,780,000"
29.Sep.97,"1,694.98",12.74,0.76,"1,685.30","1,695.53","1,680.62","635,550,000"
30.Sep.97,"1,685.69",-9.29,-0.55,"1,691.18","1,694.01","1,685.51","779,730,000"
1.Oct.97,"1,690.30",4.61,0.27,"1,690.79","1,696.63","1,680.76","970,680,000"
2.Oct.97,"1,702.41",12.11,0.72,"1,693.34","1,702.93","1,692.11","704,980,000"
3.Oct.97,"1,715.87",13.46,0.79,"1,718.17","1,726.59","1,706.23","765,240,000"
6.Oct.97,"1,721.91",6.04,0.35,"1,722.39","1,724.47","1,716.60","715,450,000"
7.Oct.97,"1,737.27",15.36,0.89,"1,725.85","1,739.86","1,725.85","777,300,000"
8.Oct.97,"1,741.77",4.50,0.26,"1,739.91","1,741.81","1,727.58","786,410,000"
9.Oct.97,"1,745.85",4.08,0.23,"1,734.99","1,748.78","1,731.34","780,590,000"
10.Oct.97,"1,739.03",-6.82,-0.39,"1,739.20","1,745.85","1,736.11","707,020,000"
13.Oct.97,"1,742.12",3.09,0.18,"1,744.88","1,747.85","1,739.03","653,120,000"
14.Oct.97,"1,732.79",-9.33,-0.54,"1,744.83","1,747.05","1,723.28","749,290,000"
15.Oct.97,"1,723.37",-9.42,-0.54,"1,715.30","1,732.79","1,713.91","816,140,000"
16.Oct.97,"1,699.66",-23.71,-1.38,"1,730.85","1,732.53","1,691.92","833,830,000"
17.Oct.97,"1,666.85",-32.81,-1.93,"1,699.66","1,699.66","1,645.87","921,830,000"
20.Oct.97,"1,685.45",18.60,1.12,"1,675.16","1,686.45","1,666.78","683,660,000"
21.Oct.97,"1,712.54",27.09,1.61,"1,699.76","1,712.90","1,699.76","789,340,000"
22.Oct.97,"1,708.08",-4.46,-0.26,"1,716.49","1,717.30","1,704.83","774,910,000"
23.Oct.97,"1,671.25",-36.83,-2.16,"1,708.08","1,708.08","1,662.99","818,880,000"
24.Oct.97,"1,650.92",-20.33,-1.22,"1,686.07","1,691.60","1,642.69","936,240,000"
